aug_rotated_abc.jpg, 613.0, 812.0, 217.0, 812.0, 217.0, 776.0, 613.0, 776.0
aug_rotated_abc.jpg, 640.0, 750.0, 264.0, 737.0, 266.0, 703.0, 641.0, 717.0
aug_rotated_abc.jpg, 572.0, 705.0, 334.0, 704.0, 334.0, 680.0, 572.0, 681.0
aug_rotated_abc.jpg, 619.0, 663.0, 292.0, 657.0, 293.0, 617.0, 619.0, 622.0
aug_rotated_abc.jpg, 645.0, 600.0, 546.0, 596.0, 547.0, 565.0, 646.0, 568.0
aug_rotated_abc.jpg, 455.0, 595.0, 321.0, 592.0, 321.0, 569.0, 455.0, 571.0
aug_rotated_abc.jpg, 151.0, 590.0, 129.0, 590.0, 129.0, 564.0, 151.0, 564.0
aug_rotated_abc.jpg, 784.0, 571.0, 686.0, 563.0, 689.0, 535.0, 786.0, 543.0
aug_rotated_abc.jpg, 455.0, 560.0, 376.0, 556.0, 377.0, 524.0, 456.0, 528.0
aug_rotated_abc.jpg, 263.0, 555.0, 132.0, 551.0, 133.0, 523.0, 264.0, 528.0
aug_rotated_abc.jpg, 786.0, 526.0, 577.0, 517.0, 579.0, 491.0, 787.0, 499.0
aug_rotated_abc.jpg, 456.0, 519.0, 366.0, 514.0, 367.0, 486.0, 457.0, 491.0
aug_rotated_abc.jpg, 200.0, 509.0, 132.0, 509.0, 132.0, 483.0, 200.0, 483.0
aug_rotated_abc.jpg, 788.0, 484.0, 571.0, 476.0, 572.0, 447.0, 789.0, 454.0
aug_rotated_abc.jpg, 790.0, 434.0, 754.0, 434.0, 754.0, 407.0, 790.0, 407.0
aug_rotated_abc.jpg, 669.0, 432.0, 564.0, 429.0, 565.0, 400.0, 670.0, 404.0
aug_rotated_abc.jpg, 460.0, 426.0, 425.0, 426.0, 425.0, 398.0, 460.0, 398.0
aug_rotated_abc.jpg, 354.0, 424.0, 287.0, 424.0, 287.0, 396.0, 354.0, 396.0
aug_rotated_abc.jpg, 204.0, 425.0, 130.0, 420.0, 132.0, 391.0, 206.0, 396.0
aug_rotated_abc.jpg, 786.0, 384.0, 529.0, 379.0, 530.0, 355.0, 787.0, 360.0
aug_rotated_abc.jpg, 473.0, 379.0, 417.0, 379.0, 417.0, 349.0, 473.0, 349.0
aug_rotated_abc.jpg, 373.0, 378.0, 289.0, 375.0, 290.0, 347.0, 374.0, 351.0
aug_rotated_abc.jpg, 214.0, 375.0, 130.0, 372.0, 131.0, 344.0, 215.0, 348.0
aug_rotated_abc.jpg, 802.0, 296.0, 544.0, 291.0, 545.0, 265.0, 802.0, 270.0
aug_rotated_abc.jpg, 246.0, 287.0, 139.0, 282.0, 141.0, 252.0, 247.0, 256.0
aug_rotated_abc.jpg, 808.0, 208.0, 694.0, 208.0, 694.0, 183.0, 808.0, 183.0
aug_rotated_abc.jpg, 215.0, 196.0, 137.0, 193.0, 139.0, 165.0, 216.0, 169.0
aug_rotated_abc.jpg, 808.0, 173.0, 701.0, 173.0, 701.0, 149.0, 808.0, 149.0
aug_rotated_abc.jpg, 159.0, 157.0, 140.0, 157.0, 140.0, 131.0, 159.0, 131.0
aug_rotated_abc.jpg, 627.0, 136.0, 264.0, 126.0, 264.0, 99.0, 627.0, 109.0
aug_rotated_abc.jpg, 761.0, 84.0, 596.0, 82.0, 597.0, 51.0, 761.0, 53.0
